time,downloads_last_month
2026-05-11 16:51:00,157
2026-05-13 15:56:00,2278
2026-05-14 17:23:00,2458
2026-05-16 23:12:00,6837
2026-05-17 16:03:00,7492
2026-05-18 17:49:00,7541
2026-05-21 16:13:00,9472
2026-05-23 03:37:10,9800
2026-05-24 03:59:02,10029
2026-05-24 08:10:23,10029
2026-05-25 04:10:18,10058
2026-05-26 03:55:51,10062
2026-05-27 04:09:55,10146
2026-05-28 03:57:53,10146
2026-05-29 03:59:42,10589
2026-05-30 03:45:45,10691
2026-05-31 04:11:41,10723
2026-06-01 04:25:43,10804
2026-06-02 04:19:26,11047
2026-06-03 04:39:00,11213
2026-06-04 04:23:45,11355
2026-06-05 04:06:33,12698
2026-06-07 04:17:03,13117
2026-06-08 04:21:27,13342
2026-06-09 03:52:55,13504
2026-06-10 04:03:54,13353
2026-06-11 04:17:36,14156
2026-06-12 04:19:58,14156
2026-06-13 04:08:24,12449
2026-06-14 04:25:23,12237
2026-06-15 04:48:52,12237
2026-06-16 04:46:06,12237
2026-06-17 04:26:22,7798
2026-06-18 04:19:54,7776
2026-06-19 04:47:30,7904
2026-06-20 04:01:45,6439
2026-06-21 04:43:01,5854
2026-06-22 04:49:01,5608
2026-06-23 03:53:46,5554
2026-06-24 03:54:59,5555
2026-06-25 03:55:51,5491
2026-06-26 04:02:28,5263
2026-06-27 03:47:25,5064
2026-06-28 04:10:06,4979
2026-06-29 04:17:00,4931
2026-06-30 03:58:09,4865
2026-07-01 04:13:10,4769
2026-07-02 03:53:44,4639
